status|||李开复|||【如何应对理想和实际的分歧】1）追逐理想：只要能解决温饱问题，从中得到的享受将超过物质享受；2）先为了现实问题而做不是最爱的工作，把不爱的工作做得足够好，然后用其他时间去追逐理想；3）先为了现实问题而做不是最爱的工作，在解决了吃饭问题后，再去做最爱的工作；4）寻找一个两者的交叉点。
repost|||夏日茹花|||两者兼得。
repost|||水2012-1-6|||转发微博
repost|||茅茹e|||先谋生
repost|||白羊张太白|||转发微博
repost|||若溪81|||转发微博
repost|||欧宝欧宝|||转发微博
repost|||杨剑亮坚持|||转发微博
repost|||kerry潔|||转发微博。
repost|||赵晶晶218|||转发微博
repost|||菜xs|||转发微博
repost|||传说中的风啊|||转发微博
repost|||葛马骝|||追逐理想：只要能解决温饱问题，从中得到的享受将超过物质享受
repost|||冷落清秋yc|||转发微博
repost|||2013年的某L先生|||转发微博
repost|||依依沉|||其实对于很多人来说，问题的关键点在于现实问题和温饱问题的标准有多高。如果这个标准太高的话，那么理想只能沦为空想。
repost|||爱玲小院|||在解决了吃饭问题后，再去做最爱的工作
repost|||Hatsu_發男|||魚與熊掌一起兼得[鼓掌]
repost|||黑红骑士218|||转发微博
repost|||megumi0707|||转发微博
repost|||巧家小刘二|||懂了
repost|||susie珊珊|||转发微博
repost|||小狗啃馒头|||雅安 我们同在 加油[爱心传递]
repost|||快乐ITX|||理想与现实找个平衡
repost|||69-seconds|||给了我很大启发，我该好好想一想
repost|||湖北xiaolong|||转发微博
repost|||潮宁|||转发微博
repost|||姚波波007|||转发微博
repost|||晨亮顿顿|||转发微博
repost|||jjjx_zq|||转发微博
repost|||chuguiyan|||转发微博
repost|||骇浪2012|||转发微博。
repost|||wkcyYWZJ|||转发微博
repost|||一剑2226|||@纸包蒸鸡儿 寻找一个两者的交叉点
repost|||手机用户3029589850|||不愧是大家
repost|||shaxin000|||转发微博
repost|||Daicyjiang|||转发微博。
repost|||静水流深Fayer|||经典~很受启发:-)谢谢开复老师
repost|||敏敏2910537490|||转发微博
repost|||阿狸的思忆|||转发微博
repost|||李奇_hitYoung|||#hitNow#[呵呵][呵呵][呵呵]
repost|||萧学敏winsun|||转发微博
repost|||Eason委鬼|||转发微博
repost|||Control3150664330|||转发微博
repost|||Ashley千金|||转发微博
repost|||Paulazaaza|||Repost
repost|||不上镜的protagonist|||转发微博
repost|||愿赌服输1988|||转发微博
repost|||cnhert|||[囧]
repost|||凝忘o_O|||两者的交叉点[思考]在寻找
repost|||Rain__rainbow|||理想和现实总有落差 树立理想 认清现实
repost|||Tony托尼先生|||转发微博
repost|||默念Q_Jessica|||转发微博
repost|||iamluda|||转发微博
repost|||scorpio鵺|||好
repost|||Archer_斌|||转发微博
repost|||既然湿了鞋我就洗个脚|||转发微博
repost|||yatou_lily|||转发微博
repost|||妍熙1987|||转发微博
repost|||08音表杨璐|||哈哈，看来我的决定是对的
repost|||瑞玲-R|||转发微博
repost|||太仓城厢镇|||很好的诠释了理想与现实
repost|||小卡卡西-|||转发微博
repost|||-ShAdowWalKer|||转发微博
repost|||维尼熊的可爱空荡荡|||转发微博
repost|||有话好好说vv|||转发微博
repost|||布衣姑蔑|||大概就是这个样子，嗯！
repost|||翔宇0720|||转发微博
repost|||曾美美L||| @无厘头中队长是个小胖纸
repost|||幸福的寒星闪闪|||转发微博
repost|||馨音之静|||转发微博
repost|||断弦的o耳朵|||转发微博
repost|||王开旋|||转发微博
repost|||AsinWang|||转发微博
repost|||leon张雷|||应对理想和实际的分歧
repost|||妈了個小喆蛋子|||还熬鸡汤呢 不捐点？
repost|||Y猫侠迫切需要新基友的粗线|||转发微博
repost|||Andy的缪斯|||转发微博
repost|||wanwan20133209890752|||转发微博
repost|||任志娟happysuzi|||太多信息需要扩散，太多人员需要抢救，您的一句话可能会使亲人之间获得联系
repost|||饼子Alison|||没错'
repost|||思雅Alice|||3）先为了现实问题而做不是最爱的工作，在解决了吃饭问题后，再去做最爱的工作
repost|||非常若冰|||转发微博。
repost|||九霄龙吟first|||转发微博
repost|||SpiritRangers-Souldrifter|||转发微博
repost|||tlong0114|||一起追求！一起成功！
repost|||森森墙角|||转发微博
repost|||手机用户2976525695|||转发微博。
repost|||LUO的信纸|||转发微博
repost|||温柔一道2010|||有道理！@浪子恒心_木木 @格林沃德 @东软水军 @流星沙暴 @hite和落雁
repost|||lemon-sanofi|||转发微博。
repost|||kevin3881|||转发微博
repost|||冰冰雪公寓|||转发微博
repost|||空聊胜于无|||只怕不敢想＂理想＂
repost|||秦人部落||| @咖啡猫杨凯 @咸阳爱心家园特殊教育中心
repost|||cssx生活|||转发微博
repost|||祥云在天边|||//@祥云在天边:彭朵瑞:理想很丰满，现实很骨感。要把必须走的路走好了，才有机会去选择走自己想走的路！@Fresh_奕奕M
repost|||W_绿藻头|||先现实，后理想！
repost|||破茧如蝶|||转发微博
repost|||靖-待花开|||转发微博
repost|||超人1105|||转发微博
repost|||花开半夏的年华|||转发微博
repost|||手机用户3314275295|||大爱无疆
repost|||大黄鱼小黄鱼HXY|||对！
repost|||回忆角落2|||转发微博。
repost|||dengpengyong|||转发微博
repost|||寻找季节|||转发微博
repost|||王慧_白莲|||转发微博
repost|||Mr野蛮书呆画个圈圈|||先为了现实问题而做不是最爱的工作，解决了吃饭问题的同时，把不爱的工作做得足够好，然后。。。寻找下一个理想吗？
repost|||名字太长不看|||转发微博
repost|||Ly家的鸡翼|||学长话学院大二有人来讲创业，学校有个创业基金，不过要写策划书，通过后资助三万并且学校会帮搞埋营业执照...上年面试题十年之后你想成为一个点样个人，点样做?[lt切克闹]我很清楚我会怎么说...
repost|||蜀绣花园|||转发微博
repost|||司司洳蔻|||转发微博
repost|||宝贝家家-xbg|||转发微博
repost|||2005SAM|||转发微博
repost|||潮汕妇人|||转发微博
repost|||Margarette的小窝|||转发微博
repost|||谁是八路|||还在他妈熬鸡汤呢？你捐了多少钱？
repost|||湛如i舳|||这是干一行爱一行么……= =
repost|||陈洁0405|||找不到突破点[鄙视]
repost|||罗西平_Change|||转发微博
repost|||竹里馆小强|||转发微博
repost|||传说中的小黑1999|||转发微博
repost|||杨家Small少|||转发微博
repost|||彼岸花开成海泪|||转发微博
repost|||凡士非凡|||同意
repost|||杨柳清清1638101577|||转发微博
repost|||阿龙-HQU|||我擦。。李总现在还在营销。。
repost|||本木_纯品|||转发微博
repost|||流水派诗人|||这也是我对未来的计划：先为了现实问题而做不是最爱的工作，在解决了吃饭问题后，再去做最爱的工作
repost|||米国志|||转发微博
repost|||缓食||| @牛二牛
repost|||王永慧Becky|||1和3
repost|||娇娇该珍惜的决不放手|||转发微博
repost|||汤米瑞芮|||转发微博
repost|||7mlet|||转发微博
repost|||吃货的分别多感人多不舍|||转发微博
repost|||可可围脖2012|||转发微博
repost|||沙沙的鱼儿|||转发微博
repost|||心亦熙然|||转发微博
repost|||魔法树a|||转发微博
repost|||到达下一站|||谢谢老师
repost|||依然勇敢的心|||穷开心
repost|||谢-c-|||转发微博
repost|||dongya|||说实话，就光平衡好这两点就不容易。也许我笨，反正我觉得。
repost|||清古_56091|||嗯嗯。。
repost|||hanyuepaopao|||转发微博
repost|||贤偏愛那一抹夕陽|||转发微博
repost|||善善是射手座|||现在处于温水煮青蛙状态下的人包括自己，总错误的认为：因为不爱的工作才没能力做好，或没激情去做好。而事实上，一件事无论爱与不爱，你都没有拿出自己的全力以赴，换任何工作都只是换汤不换药。
repost|||撒哈拉的毛豆腐|||要规划不要计划，制定大方向，走偏了还会回来的
repost|||眼光明媚的中午|||转发微博
repost|||嗳了的孩子气|||转发微博
repost|||快乐松鼠俊|||转发微博
repost|||李洋入蜀看柠檬|||[哼]
repost|||醉酒灵芝|||怎么没见你组织捐款
repost|||四维婉婉|||转发微博
repost|||陌上流年belongtome|||转发微博
repost|||1ys1|||转发微博
repost|||周亚非_79994|||转发微博
repost|||竞哥|||//@人生与职场教练: 转发微博
repost|||倔强的梦原希|||//@金香1980: 　　
repost|||莫美满12|||//@金香1980: 　　
repost|||大臣idream|||理想照近现实
repost|||郑州法标洁具李婉君|||转发微博
repost|||华夏星空2013|||转发微博
repost|||时代精英9900|||转发微博
repost|||785766695xinxin|||看明白了吗？很适合现在的我，想想，会想清楚的呵呵
repost|||助理会计师不是会计师|||转发微博
repost|||手机用户3264098655|||转发微博
repost|||之歌樱咲刹那|||//@Simplia: 很难平衡两者
repost|||2PM野兽最当道飞航1990|||//@Simplia: 很难平衡两者
repost|||Ace_Choi|||转发微博
repost|||浪漫海岸12|||转发微博
repost|||独赏观音韵|||转发微博
repost|||terryhu19|||[思考]
repost|||daisy-lme|||转发微博
repost|||小幺鱼|||是这样的
repost|||im非|||赞同一下，开复老师对此次地震怎么看
repost|||asahbts|||转发微博
repost|||kingfederer|||转发微博
repost|||胖胖鱼-女超人|||转发微博
repost|||夏莉子Hedley|||转发微博
repost|||竹影溪语|||转发微博
repost|||清风伴明月起舞|||理想很美好，现实很真实，一份和专业爱好不一样的工作，尽管你不一定能真的爱上它，但是至少要开心些，毕竟它能证明你的能力，而且能帮助你实现理想，所以还是不要抱怨了，说不定哪天你会爱上它
repost|||小婷子Cherry|||转发微博。
repost|||-----雷雷-----|||理想？我们还有吗？
repost|||手机用户3304438681|||转发微博
repost|||我是mini奥利奥|||转发微博
repost|||丑小鸭sherry|||转发微博
repost|||小明修房子|||为了这个交叉点付出很多都值得.
repost|||赵岩峰-|||思考
repost|||熊猫爱奶茶|||热情以赴未来！
repost|||拓心神|||动动脑想想吧
repost|||孤独旅行者ll|||转发微博
repost|||冯家阿锐|||理想与现实，如何从现实到理想，把现实做好
repost|||老K的白菜地|||转发微博
repost|||安溪凤凰茶艺|||转发微博
repost|||B_sugus|||转发微博
repost|||DADA_BASE|||转发微博
repost|||四喜小丸子同学|||轉發微博
repost|||哥抽的不是烟是钢筋|||转发微博
repost|||Alonzo-Liang|||确实很多时候会遇到这样的挣扎
repost|||s四阿哥s|||转发微博
repost|||爱鸳鸯更爱拿铁|||转发微博
repost|||冥亚伦|||忍耐与学习在加坚持，总有那么一天，我会实现我伟大的理想。
repost|||风轻微语|||转发微博
repost|||手机用户3168270820|||转发微博
repost|||sax卓|||转发微博
repost|||李李李小木子|||现实和理想本来就是很鲜明的对比。。
repost|||壬申秋分|||转发微博
repost|||等待-中-幸福|||转发微博
repost|||瑤鉿鉿|||！！
repost|||相遇1117|||周六上完一天班，看到这样窝心的话，莫大安慰
repost|||Becky_ben疍zZ|||转发微博
repost|||徐红节0903|||转发微博
repost|||守多多|||[哈哈]
repost|||苏闻播0611|||转发微博
repost|||__不就没事犯抽算不上思念一下么|||转发微博
repost|||123jimmy1990|||转发微博
repost|||絯孓氣_46090|||转发微博
repost|||哥哥浩邈|||//@lin471969803: 转发微博
repost|||天佑菊川雪之|||//@lin471969803: 转发微博
repost|||cc牛仔很忙|||转发微博
repost|||Z_YiQing|||agree
repost|||秀女也疯狂2011|||转发微博
repost|||祥云在天边|||彭朵瑞:理想很丰满，现实很骨感。要把必须走的路走好了，才有机会去选择走自己想走的路！@fresh _奕M
repost|||汤志满川理|||我想要把不爱的工作做到更好！！！
repost|||Simplia|||很难平衡两者
repost|||最辣的猫|||可行
repost|||aliwang10||| @知足常乐orz
repost|||小王子_-|||转发微博
repost|||Leehom_Lei|||转发微博
repost|||听心私语|||转发微博
repost|||邓茜溪|||[爱你]
repost|||Alonso-Lin|||支持
repost|||沧浪之水1118|||就这样干[偷笑]
repost|||HighMover-YZ|||转发微博
repost|||兽美人|||转发微博
repost|||的了了的|||梦想虽是遥不可及，但也不能放弃！
repost|||亦衲|||转发微博
repost|||地海融会|||寻觅一个让热血沸腾的工作啊，不易
repost|||爱猫的小猎头-Andy|||转发微博
repost|||fs徐海成|||真有点想打人，白痴
repost|||小月无界|||李先生也是在物质丰厚了以后开始追求理想的吧。
repost|||天佑本王OR不良少爷我是唯一的|||反正不回复,不想评了
repost|||__Sunrise__|||转发微博
repost|||莲的心事-6|||转发微博
repost|||泰迪熊在路上|||转发微博
repost|||开出花儿来的人生|||转发微博
repost|||未来的张瘦子|||转发微博
repost|||3G忻州|||希望对女儿借鉴。
repost|||肯尼飞|||转发微博
repost|||刺楠2012|||转发微博
repost|||祝天下好人幸福快乐|||转发微博
repost|||书匠的裁缝|||转发微博
repost|||阳阳在奋斗|||第四者
repost|||手机用户3168506224|||有道理！
repost|||缒儚嘀亽|||转发微博
repost|||星下思|||转发微博
repost|||自律则强|||追逐理想：只要能解决温饱问题，从中得到的享受将超过物质享受；
repost|||念小小的天使|||转发微博
repost|||Scott-Chow|||不能再等的思考……  不喜欢也要尽力  挺一挺吧
repost|||yake3736|||转发微博
repost|||梦想飞扬mk|||转发微博
repost|||信念89曦|||转发微博
repost|||锁闭一世的好久不贱|||转发微博
repost|||594Vera|||转发微博
repost|||海燕娜拉|||转发微博
repost|||维维20|||转发微博
repost|||指缝间遗落2989023791|||转发微博
repost|||有理想的好孩子|||转发微博
repost|||牛头马面QQ|||转发微博
repost|||Gemini_Cancer|||reality后面有dream如影子紧紧跟随，牢牢支撑，喜欢~
repost|||华中农业大学-微工作|||转发微博
repost|||LeeLoveForever|||转发微博
repost|||小刘z猪猪|||转发微博
repost|||月笙FIGHTING|||懂了[照相机]
repost|||港田里子|||转发微博。
repost|||单单_Shine|||转发微博
repost|||有人抢了我的名字我没办法了|||转发微博
repost|||矿工何二|||转发微博
repost|||我拥有整个宇宙围绕身边的美满|||放弃功利主义，这个问题简直就不是问题。
repost|||幸福哩柒號|||[可爱]
repost|||MaryJ-|||转发微博
repost|||北极熊的小蜜罐|||转发微博
repost|||淼森森淼|||转发微博
repost|||王小珊-||| @苡小诺 @丽晓杜 刚毕业，很难学会权衡利弊，希望，我们可以共勉。[爱你]
repost|||小汤kenny|||我仍在追逐理想的路上
repost|||安妮露薇|||转发微博
repost|||淼淼过了25|||好
repost|||及时雨宋公明心怀天下|||转发微博
repost|||姜玮jw|||转发微博
repost|||朔风|||转发微博
repost|||安静老师|||我完全同意。不光是追逐最爱的工作，还有最爱的团队，和最爱的朋友圈。一点一点来，终能找到我的最爱
repost|||冷艳刺玫瑰|||转发微博
repost|||恂者天地|||转发微博
repost|||LOVE段凯慧|||转发微博
repost|||元芳说说看看|||转发微博
repost|||相识缘起|||我选择第二种，你呢
repost|||啊哈美美||| @雷蒙_chen
repost|||love8CHANEL|||转发微博
repost|||滨州职业学院-全国百强骨干院校|||转发微博
repost|||草根中的草儿|||转发微博
repost|||黄小賤Wisdom|||先有面包，呵呵
repost|||聂保良|||转发微博
repost|||Snow_CR|||转发微博
repost|||我假装坚强grace|||转发微博
repost|||荒野落梦|||转发微博
repost|||lee-zhi|||如何应对理想和实际的分歧
repost|||juanmomo|||转发微博
repost|||shashaKyy|||转发微博
repost|||Breakfast_AT_JessphanieS|||转发微博
repost|||SF苏封|||[鼓掌]
repost|||Lee造型其其|||转发微博
repost|||虞逸|||转发微博
repost|||酸奶100|||寻求平衡
repost|||碎了1地的阳光|||找一个交叉点。
repost|||若梦浮生难回首|||转发微博
repost|||喵喵因特古拉|||//@Olivileya: 转发微博
repost|||很渣的老萝莉|||把不爱的工作做的更好- -
repost|||人生与职场教练|||转发微博
repost|||狮子王鑫|||//@Olivileya: 转发微博
repost|||Mr_榛仁|||现在的年轻人值得看看了！因为一直以来书面上的太理想化了。不要在这两者直接产生纠结
repost|||有梦想的玲子|||转发微博
repost|||tkeision|||李老师，正说中我的心声啊！
repost|||隐姓埋名CPF|||嗯
repost|||时代精英9900|||转发微博
repost|||萱雨坤|||#请插入话题名称##四川雅安地震#
repost|||为爱情隐修的女子|||哎哟我真的是很幸福〜〜〜^_^我没什么理想的，因为我现在做的工作就是我最喜欢的工作。只是希望自己更加珍惜当下
repost|||黄萧然vic|||理想很丰满，现实很骨感。活着才能做英雄！
repost|||wangling露|||转发微博
repost|||昌大汉语言111|||理性与现实！！
repost|||wenliqing320|||转发微博。
repost|||小洋囡囡yn|||转发微博
repost|||Katrina是我|||转发微博
repost|||湘西游子3|||我现在的情况就是这样！
repost|||成长中的Cici|||转发微博
repost|||舟楫江南|||转发微博
repost|||王妹妞妞妈|||都在说地震你说这个，太煞风景了！扎突然感觉你像唐僧呢？
repost|||北勘公司168|||转发微博
repost|||谷雨and夏至|||转发微博
repost|||5789a|||很实用 谢谢！
repost|||H2O番|||正做着这样的决定，并享受这样的过程
repost|||丹丹向阳开|||转发微博
repost|||路行天下668|||站着讲话不腰疼。。。怎么就是难以给自己一个很好的未来
repost|||新燕月潮|||转发微博
repost|||gg付小迪|||慢慢搞
repost|||am夏虫|||转发微博
repost|||kady牛耀辉|||转发微博
repost|||三个石头--磊|||转发微博
repost|||恋上幸福134|||转发微博
repost|||白念安123|||努力。
repost|||滕梓铭|||往往工作都带有重复反复的性质，所以往往与理想无缘。
repost|||奇怪的颜颜yy|||转发微博
repost|||树的墅|||转发微博
repost|||峰中的羽翼|||[握手][ok][拳头][太阳]
repost|||青春刘飞|||[鼓掌]
repost|||心有所属33|||转发微博
repost|||康爷liu|||寻找自己的理想。
repost|||Kinopio奇诺比奥|||转发微博
repost|||重庆Gary|||转发微博
repost|||东方菇酿|||处理好理想和现实的平衡。。。
repost|||Wgg丽芳|||转发微博
repost|||萍平安岸|||转发微博
repost|||中年挨踢屌丝男|||转发微博
repost|||手机用户1783801135_r52_czv_alk|||转发微博
repost|||316446854_7d966c|||转发微博
repost|||新月升雁潮涌|||转发微博
repost|||正在努力的小毛頭|||转发微博
repost|||SwagLove_AeroV|||转发微博
repost|||爱恨两字难写|||转发微博
repost|||德国WDR|||转发微博
repost|||tian_xiaosong|||转发微博
repost|||专挑大个儿|||那理想和现实差距实在很大呢？
repost|||小样儿Zoeyoung|||转发微博
repost|||杨金鸟|||转发微博
repost|||小壮mom|||转发微博
repost|||gbwaini2009_f91823|||现实！
repost|||为你写诗0606|||转发微博
repost|||木每四点|||转发微博
repost|||潘臻dream_angel_dream|||转发微博
repost|||____小汪|||转发微博。
repost|||要追随自己的感觉走|||转发微博
repost|||青子青_J|||转发微博
repost|||kevin0922|||@miviya 你在追逐理想吗？
repost|||1夏晓冬|||老李的经历是个传奇…
repost|||bonanzawu|||转发微博
repost|||采蘑菇的king0124|||转发微博。
repost|||蓝秀之美|||转发微博
repost|||PorscheBoy|||转发微博
repost|||梁振华598|||转发微博
repost|||琮驿|||转发微博
repost|||mercury_mew||| @顺家大小姐
repost|||Ln宁博|||//@陈伟毅cwy：在进行3
repost|||围啵达人|||[呵呵]客观、理性。
repost|||每一刻年华|||喜爱自己要面对的事，好好做
repost|||会飞的鱼儿201204|||转发微博
repost|||老雷12345|||转发微博
repost|||超超糖寳贝|||转发微博
repost|||邵煜智|||转发微博
repost|||285426924_40abe9|||推介搜索关注阿伯解救广州单身 阿伯解救广州单身 阿伯解救广州单身 阿伯解救广州单身 阿伯解救广州单身 [心][心]~
repost|||早安洛克|||转发微博
repost|||从未放弃前行2013|||转发微博
repost|||良军d微博|||转发微博
repost|||Bin_饼饼|||[威武]
repost|||30岁我们私奔吧|||转发微博
repost|||王晫锋-chok|||[哈哈]
repost|||闫帅A123|||转发微博
repost|||别绷着努力就好|||转发微博
repost|||幸福里-我是我是我你是你是你|||@幸福里社工 
repost|||昂然向上99|||理想已是很奢侈的事！
repost|||它山之玉-辰芮|||转发微博
repost|||任凴花香满城流浪|||转发微博
repost|||zufeina|||好教材
repost|||手机用户3168270820|||转发微博
repost|||早上起来抽支烟|||[赞]
repost|||车之走刀口|||转发微博
repost|||Jayshang1990|||转发微博
repost|||zmhhajz|||转发微博
repost|||Jimbowhy|||现实就是温饱！
repost|||sohot1|||转发微博
repost|||岩子狮子|||多好的支点
repost|||Jakaly|||转发微博
repost|||黄家阿桂|||转发微博
repost|||手机用户3221003830|||转发微博
repost|||浪女腾龙|||转发微博
repost|||晓晓_G|||交叉点难求。但前三条是通俗的道理，被总结出来，更加明白了。
repost|||小鱼儿3150107454|||转发微博
repost|||悠闲的大象2011|||开复老师，善用您的影响力，多转发救人要紧！快！
repost|||Asandyren|||牢记。 
repost|||JYTTTTT|||好吧
repost|||大浦浦|||转发微博
repost|||信风鸟-|||转发微博
repost|||Raylene1990|||转发微博
repost|||PandoraHacker|||现在做的'不就是跟他说的一样么'
repost|||淡淡紫色藤萝梦|||转发微博
repost|||EricWang18|||转发微博
repost|||高红宁_|||理想和实际
repost|||树上的猪小姐|||转发微博
repost|||JUYL殇|||转发微博
repost|||孤独未茫人|||吃饭问题永遠第一。
repost|||Sukie韦静|||转发微博
repost|||Cyrus_li_|||转发微博
repost|||涟薇漪|||转发微博。
repost|||小小小PAN|||转发微博
repost|||你是我的谁我是他的谁|||转发微博
repost|||胡子格|||转发微博
repost|||勿忘心安1深|||转发微博
repost|||流浪记v|||转发微博
repost|||飘-觅|||学习了
repost|||手机用户3317480402|||转发微博
repost|||崔超静|||@番茄加蛋蛋 
repost|||郭雅婷1126|||转发微博
repost|||巷口的树袋熊||| @木子千寻xj @顽皮鲁鲁 @街边的袋袋1751451745
repost|||王楠1986|||转发微博
repost|||RunninglionT|||转发微博
repost|||aXiongV5|||让时间来改变
repost|||CANDY爱麦兜兜|||我们要学习的东西
repost|||才上心头却下眉头|||废话！
repost|||珍珍家的猫_193|||转发微博
repost|||Paul_飛龍在天|||转发微博
repost|||花园胡同里的天南海北|||转发微博
repost|||刘-Jacky|||追逐理想
repost|||秦月3214|||转发微博
repost|||阿拉潘神灯|||脉搏网 定时发送软件害了开复先生。建议@脉搏网 可以开发一个功能，遇到社会重大事件时候，可以自动停止发送这种主人设定的心灵鸡汤，技术上实现应该完全没问题。
repost|||Flyingdolphin725|||转发微博
repost|||超超就是我咯|||[good]
repost|||Lexi_可乐谷互动英语|||转发微博
repost|||童颜always|||转发微博
repost|||冬雨-云淡风轻|||2，3做完了，1走起
repost|||K杨乐|||寻找一个两者的交叉点。
repost|||瑪莎菈帝|||转发微博
repost|||蚂蚁要上树2013|||第三种人最多！俺也算是
repost|||金香1980|||　　
repost|||TheDeathOfYouAndMe|||决心
repost|||可樂妮伽|||轉發微博
repost|||潜碎|||转发微博
repost|||邪灵1314|||转发微博
repost|||fish22222|||转发微博
repost|||御泉趵突|||转发微博。
repost|||狼少320924|||对
repost|||哗啦啦啦_______|||[生病]最近各方面都迷茫的一塌糊涂。
repost|||21微克|||转发微博
repost|||迷失的心跳声||| //@活着就是噩梦: 转发微博
repost|||RobertoPan|||转发微博
repost|||君孜灬|||[思考]我现在正处于迷茫期...
repost|||顺其自然_7929|||转发微博
repost|||感性奇葩|||转发微博
repost|||_妮可_不是基德曼|||Repost
repost|||心理盐水|||轉發微博
repost|||柳長寧|||转发微博
repost|||樯蕖芙朵|||转发微博
repost|||下_小_雨|||转发微博
repost|||own_side5|||理想呢？
repost|||别想了-他是她的|||转发微博
repost|||卓帅_ny|||转发微博
repost|||andy鹏621|||受益匪浅啊!
repost|||认真雪2010|||转发微博
repost|||Happy忧酷哥|||转发微博
repost|||Tomy偉|||转发微博
repost|||木木夕木目心GG|||转发微博
repost|||shiyu_199188|||[兔子]
repost|||小柏洁|||所谓理想与现实
repost|||菜包包饺子|||转发微博
repost|||鱼人2831|||转发微博
repost|||墨无影1986|||转发微博
repost|||fit贞|||转发微博
repost|||nyontheway|||不是很贊成~~~[生病]
repost|||Aries宁|||转发微博
repost|||城市绝不程式|||转发微博
repost|||奥斯叮宝贝|||转发微博
repost|||fifi守护神|||转发微博
repost|||流泪的水猫|||转发微博
repost|||中流船长|||转发微博
repost|||南国的孩子C|||@echo是射手  
repost|||雪的往生|||转发微博
repost|||娜Miracle|||我最爱的工作？、、
repost|||酝悦_读书破万卷下笔如有神|||转发微博
repost|||richardwang-1988|||转发微博
repost|||梦小夜|||转发微博
repost|||Mianmian棉棉|||转发微博
repost|||玉莲书桌|||转发微博
repost|||Daisy想冬眠|||[good]
repost|||藜雨潇潇|||转发微博
repost|||手机用户3172334231|||转发微博
repost|||木头噶达|||转发微博
repost|||吃吃吃吃货敏敏|||顿悟
repost|||中南林业科技大学本部|||转发微博
repost|||sweet-lolita26|||转发微博
repost|||木头板板|||转发微博
repost|||珊shanhd|||转发微博
repost|||FourGreenPlanet|||人如果没有梦想，跟咸鱼有什么分别！
repost|||易泽辉_48086|||转发微博
repost|||Luke_那时年少|||转发微博
repost|||淡眼观心的世界|||转发微博
repost|||凯里无影脚|||转发微博
repost|||梓宸-cheney|||转发微博
repost|||程海苗|||转发微博
repost|||夕阳雪2|||转发微博
repost|||番茄叶子的天空|||转发微博
repost|||簡單經典|||转发微博
repost|||瑛杰之名|||我更看重实际！！
repost|||悠悠我心21907|||转发微博
repost|||小奇奇爱生活|||转发微博
repost|||DaveYin世界|||共勉之@披着羊皮的大灰
repost|||张大程程程-没头脑|||我是不是有点。。。了。。。
repost|||BOBO北京|||仰望星空  脚踏实地
repost|||不忌口的妞妞|||为了理想，先做不爱的工作，尽力做好，做着做着居然爱上了~
repost|||Just_Do_It___L_sx少翔|||转发微博
repost|||china_vy|||转发微博
repost|||張東ITHLD|||朝聞道，夕死可矣！
repost|||小青2748171843|||转发微博
repost|||一路向北XYH|||转发微博
repost|||音响乒乓|||转发微博
repost|||直博真相|||转发微博
repost|||Bolt963|||转发微博
repost|||Chris_椋|||转发微博
repost|||乔阿牛|||转发微博
repost|||宝贝媛1121|||转发微博
repost|||-七彩糖果-Winnie|||Repost
repost|||完美争取|||转发微博
repost|||wbpeter|||转发微博
repost|||欧煦煦|||是的，因为不可能每件事很能如你所想
repost|||依知独秀|||转发微博
repost|||godssister|||转发微博
repost|||小弟震|||我看了今天一些和救援无关的微博，都被大量网友批评了：这时候还是专注灾情吧，别说这些没用的！这是人性光辉爆发？
repost|||台湾味一肉松|||老师说得对
repost|||金牛莎莉|||是的
repost|||遗忘角落nba|||转发微博
repost|||在水伊方孤丽无援|||转发微博
repost|||创业发展联盟委员|||转发微博
repost|||WU__小波|||转给某人
repost|||那年的文子|||现在是2、3阶段，希望不用太久可以是5完全为自己想要的理想生活而活。
repost|||skyork|||//
repost|||帽绳|||转发微博
repost|||洋洋是我-|||转发微博
repost|||徐7丶|||转发微博
repost|||子__不__语|||转发微博
repost|||刘勇餐饮|||先解决现实，再实现理想！
repost|||springna_cheese|||转发微博
repost|||smith-chan|||转发微博
repost|||Kewin-Mei|||先解决温饱等问题后才做最爱的工作
repost|||bobi26|||转发微博
repost|||新东方华老师|||@dolphinsoo @Lizzy呉大圆 
repost|||忽略孤独|||转发微博。
repost|||印度老板|||学习了
repost|||LEE未完待续|||转发微博
repost|||fre碗da|||转发微博
repost|||Z佐罗的面具H|||转发微博。
repost|||halloo白白|||转发微博
repost|||爱吃兔子的胡萝卜呀|||非常之赞同~理想不能丢，现实逃避不了~
repost|||程洁你要开始奋斗了|||理想很丰满，现实很骨干
repost|||潍坊老蔡|||转发微博
repost|||奔跑的树叶要跳舞|||转发微博
repost|||大摇大摆的Man|||转发微博
repost|||周恩国_Barry|||转发微博
repost|||林庭远|||是啊，先站稳了，才有机会做你想做的事。
repost|||Penny潘小花|||转发微博
repost|||水映年华|||转发微博
repost|||宝文vivin|||转发微博
repost|||空谷angel幽兰|||转发微博
repost|||CourierXD|||轉發微博
repost|||星子下的阳光|||转发微博
repost|||太阳下之月光|||转发微博
repost|||PPT真海|||转发微博
repost|||杨城小爱|||如果为了理想可以牺牲眼前利益那也无所谓。但是有远观的人是因为看到实际利益是为了梦想而服务，所以才有价值。两者相辅相成!
repost|||竹君notailbear|||转发微博
repost|||雪月江城|||理想和现实的博弈
repost|||独角兽7157|||回复@vam_pire-baby:嗯。 //@vam_pire-baby:还在鸡汤啊。。做点实事吧。。
repost|||盼盼1990传奇|||转发微博
repost|||青青子矜悠悠我鑫|||转发微博
